"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64"
0.0106608998445488,-0.374860674714273,-0.058990458522607,-0.0093536706977142,0.220901881630319,-0.723395124406509,0.483136023442504,-0.14065257312964,0.00663973837674849,-0.0623103814158729,0.0164735563881912,-0.0141044289141482,0.0274257476031404,-0.0436119441959508,0.00416976044481151,-0.00959513738602282,0.00464854201274883,-0.00754367372432172,0.071579235904808,-0.0988180587780531,0.0516729720179775,-0.0312004677156265,0.0270642897415041,-0.0103993833681919,0.00485451018568539,0.0139558821088165,-0.00131277026304815,-0.00655176609457099,-0.0144521777161436,0.00145415715412076,0.0166360366965305,0.00337137460853244,0.0109386415085564,-3.04445644304251e-05,-0.0206506504978712,-0.0169592615128996,0.0396718189710058,0.0041496755929281,0.00243952844244498,0.00220534973538195,0.00359833767622083,0.00454288471603383,0.0123303748659483,-0.00302312598274746,-0.0149883843128313,-0.00104453741366522,0.000300486624325486,0.00623755250427811,0.00262201429963722,0.00928405873346016,-0.00324962072699207,-0.00220900836020016,-0.00706978825824415,-0.00267425784668491,-0.000630047915459603,-0.00478378212501106,-0.00429390973591891,0.000560658093854636,0.00318962532828035,0.00120024634383096,0.000745241378103247,0.00186681299653228,0.00198360950602624,0.000609436512120574
0.00423287342737971,0.00344246141282456,-0.00154738784283712,0.397984026724856,-0.626062124994459,-0.176876901233259,-0.0667547355565895,-0.412902223631984,-0.00627914292651215,0.14953917425238,0.0403067405006851,0.14255987457801,0.312275528737747,0.162002318727771,-0.0352530867614928,0.0263148254142673,-0.15106140903611,-0.0242268021685463,0.01210059160563,-0.00786154958679921,-0.0123221610746227,0.0197060320383226,0.00904685563545217,0.0565578252809746,-0.109543371651922,0.149010054091792,0.0112052599424737,-0.00853840189328949,-0.0180483834050131,0.0177819574798866,-0.00926665739234038,-0.0169985108544252,-0.0111662005764281,-0.0030259029193316,-0.00851356521246468,0.0178665940309942,-0.0205181337089139,-0.0357422959275869,-0.00300848856837045,0.00127313010304673,0.0286953579005075,0.0163561514241147,-0.0339683877307849,-0.0418607584899834,0.0478169435849026,0.00460562538206902,0.0121982807280856,-0.000130615381902815,-0.010145790419485,0.00060372353101937,0.00784824869219831,-0.000306068259475955,0.0257949222971456,-0.00845746503308136,-0.0205915197633088,0.003410680865394,-0.0171185078341537,-0.00247522850901227,0.00204260385618303,-0.00549310180698947,0.00546682890435619,0.00144928875685856,-0.00635321961317543,0.00783107476239897
-0.00258107337422897,-0.137106520292726,0.0370807399324596,0.164999532049712,0.0555736082554449,0.076215228942546,0.073898027431951,0.349459576628126,-0.157112954541103,0.762257774871329,-0.0487503079405127,0.0290879263509769,0.0602889962963451,-0.0147671000095875,-0.113084078478519,-0.00697468520559033,0.0303041182444262,0.0169658967535705,0.183356227431381,-0.298086564683782,0.170466190110041,-0.118248356663313,0.0760211786717804,0.0111616489585863,0.0112428245638689,0.0101268813341951,0.0137277873247004,0.0273246838815909,-0.0383816724744869,0.0219782659185209,0.00810493917798906,-0.0226879070672462,-0.0154222129658577,0.00339543811491705,0.00270268278223387,0.0280157610658782,-0.0428610949322328,0.016104869750387,0.0246811573186364,-0.0160731938719101,-0.0194723557841328,-0.00250935271802181,0.0499868911480904,0.00575839359472421,-0.00898408121350678,-0.0589810825896579,-0.0303356247713004,-0.013741735595131,0.0219938063668615,0.0129995494098226,-0.00518642656511575,-0.0168798990601111,-0.0233997019846909,0.00489375602103968,-0.0170402601777772,-0.00200617429473683,-0.013113894904709,0.00574884826916159,0.0200694051901999,-0.00317291857875203,0.00393031945205884,-0.00272306588321022,0.00948889607175208,0.00136718732778416
-0.00279394502277159,0.0212622836450307,0.00653801494113926,-0.143736958103098,0.306532561571643,0.154081011792843,-0.0385238213973724,-0.57401465370338,0.249538597108098,0.337232604673701,0.170582951174709,-0.138628187864697,-0.185382766473772,-0.115695077526712,0.0325814303457083,0.0385629210473393,-0.00317393080621075,0.000489581381061695,-0.00218559111088729,-0.00822899219485573,0.0322462621468309,0.041850623376764,-0.00254336942580134,0.133698661156013,-0.250863023865475,0.316769349801588,0.0208701115064578,-0.0803591087117036,-0.0353621109700203,0.029956891595675,0.00547794318022449,0.0153742371011826,-0.00997730306802584,0.0853968370670854,0.0113371731566151,-0.0102388056705639,-0.00804668579420131,-0.0937436849187014,-0.0422186469942396,-0.0114231353685051,-0.0749538765472269,-0.0422520828966773,0.123422019616775,0.0730423814995509,-0.00756148392698375,0.0613694519206035,-0.0655651495536597,-0.0383552026465117,0.00260986352540129,-0.035402567242598,0.0233945476649048,0.0219335966311796,-0.0124910423579769,-0.00350551039265508,-0.00065746513948835,-0.042355281589891,-0.0306704802631497,0.0105678664750417,-0.0195380956405272,-0.00213398787040085,0.0185442153556123,0.00514547033885562,0.00491012236184018,0.0128803495107846
-0.00427456649629701,-0.0551107422015294,0.00421025060796765,-0.0550855682763792,-0.0309491460357577,0.0633069250023576,-0.079056636476951,-0.0520765329422823,0.132105758845022,-0.145618954920447,-0.285844561417778,-0.569151002487377,0.357815598017955,-0.133648337300547,0.179365451078971,-0.0530178508404187,-0.0828587012178136,-0.104362609430905,0.339027347805784,-0.192503404878845,0.0575807887029222,-0.0562520240134009,0.0496578355205516,-0.0046544808941,0.0457628017422882,-0.023098798369565,0.0559732443250165,0.135583465603862,-0.104559092839305,0.0485223291092348,-0.0868228092670569,-0.0495565873661893,-0.102610043989612,0.0384451117533754,0.0983376630149752,0.131423006485411,-0.227823906433105,0.0443077972614339,-0.0371055067930417,-0.012862387287893,-0.0696338303413548,0.0138238528449015,0.00787952674589449,0.0455737998445463,0.012360015760944,0.0924224816681099,0.0336387085169645,-0.0040456131243125,-0.0761425698914965,-0.0758565800291772,0.0396265191755693,0.00585477096374012,0.0362226402279718,-0.00771232745947842,-0.00908852041176157,0.0253094271628636,-0.0164335953871494,0.0135835324107466,0.00532909146003993,-0.00724193714770815,-0.00611582248897124,-0.00846993337817929,-0.0186267659955817,-0.0319733526010605
-0.000333158208001597,-0.00292533243909138,-0.00156243973712443,-0.0271193914976695,0.0600163545790183,-0.0102724930510663,0.0301410500825886,0.166864042738487,-0.029771788330048,-0.100691836396398,-0.00829336319350919,-0.106254105938885,-0.104284531995255,0.58935582344538,-0.209281699371707,-0.28518969784059,-0.398698089156007,-0.174543099240208,0.0919216621458886,0.0657445077299645,0.0110521938368366,-0.0582465861789715,0.00552009472208331,0.0349792173362809,-0.163690133410655,0.17245516485144,0.109634915465387,-0.0927743650119096,0.0147163299445397,0.0380667978770759,0.0318771414545626,-0.00601820928759269,0.0156109967184538,0.0568273307435489,0.0313466744884633,0.0198525849087925,0.00119097876330793,-0.0863900168954923,-0.0154692338082838,-0.00670504087271335,-0.182200546164994,-0.0421514184362731,0.229677483724943,0.183653364456735,-0.100120733032922,-0.0350517493088464,0.0232598106225889,0.0829816006540384,-0.0713948196730352,-0.0127619954577685,-0.051389336617943,-0.00667444797606336,-0.0289561577128389,0.0439701964115847,0.0716647526936815,0.0213630513698741,0.0403556777664613,-0.000579425303811538,-0.0212619216084502,0.023559272476109,0.00266759740384298,-0.0398450597901182,0.0282113784589237,-0.0121349850363049
-0.000674309613040953,-0.0104119310318677,-0.000209711428744779,-0.0485634545644465,-0.0413015050045482,0.0332451156465795,-0.0266728590768916,-0.0428117926185769,0.0133528038520366,-0.139817523845317,0.0249122393353455,0.0543844481709616,-0.0325397480947775,0.121046325768597,-0.0215785351858206,-0.0949325406734632,0.0414924951790444,0.320140079737482,-0.446005060360461,-0.414946935140161,0.399711739947888,-0.198349661733448,0.16442484119961,-0.0715044099816928,0.00451847400629124,0.0943206060199678,-0.0214448288893498,0.0672555563002018,-0.0233646138656898,0.0514172968212663,-0.0887164587784383,-0.0586032518905087,-0.0606559551666231,0.00928115291216248,0.0716335316680073,-0.00364367764126231,-0.0993619827805684,0.0405212772466211,-0.0438944987872832,0.0665876383419113,-0.104841476951354,0.0750346184820228,-0.0622059233370589,0.0124349292586496,-0.0479599906983643,0.315981756419933,0.0958460712861795,0.103864643331834,0.0241003851243861,-0.0537749493649737,-0.0149721375860129,0.0775353131913148,-0.0391452353329507,-0.0545749448611899,0.119399238897993,-0.0407814070636139,0.0521442790096583,-0.0401304695188263,-0.0503824581289801,0.0307018549400258,-0.0281245836500188,0.0181586562732704,-0.0034894425744584,-0.00909749695095184
0.000803839815332916,-0.000100291452480886,0.00208271573977833,-0.00729518135734004,-0.0136483318880443,-0.00306052490899605,0.0151529656248743,0.0966560323681152,-0.054507822086373,-0.0615014141189822,-0.0254206663363641,0.119498452329009,0.0945438643407818,-0.0768105343735344,0.0233123197472696,0.163313055811915,0.15551934425593,-0.0153832920470215,0.114102692295747,0.148298987469213,0.46381895973478,0.578916651920026,0.103075184189123,0.000635932739960779,-0.0172017478728915,0.182175258310704,0.0414882645483776,-0.0168010902136826,0.158096551016051,0.0566290056083083,-0.00631909730864695,-0.0368921007528757,-0.033893663525489,0.159950564163325,0.0229607856287195,0.0115000237048731,-0.0395206195563813,-0.0745099285545336,-0.0303214663229898,-0.0139361317254738,-0.0947675014621892,-0.029322455715884,0.130796016601675,0.125778814847762,0.00609111405899776,-0.0602125957551986,0.197451763572602,0.239199359359494,-0.083204355488333,0.0869182580421499,0.124127439430467,-0.00591610096499138,0.0578295562414307,0.00920394116386124,0.0389375687231286,0.127271472856241,0.0568699049199898,-0.0312172515668341,0.0353798564077919,0.0188915242950806,-0.0629012678167598,-5.42347536843287e-05,-0.0431171226583553,-0.00828643797751065
0.000302620250144955,-0.00128193342042998,-0.00177698688540657,-0.0207199727747677,-0.00858118871148943,-0.000153050304710842,-0.00391893045739647,-0.0161963519339515,-0.0171556444202277,-0.0398620904846675,0.0471689207521993,0.117961828317545,-0.0373136537206081,-0.0663803346773252,-0.0892011907920894,0.0558577366496169,-0.00236420288113085,-0.12654052126922,0.124546082606895,0.00926598633200245,0.128519920592137,-0.0907138655775974,-0.363751334545494,0.571881484552291,0.0572737406655934,-0.161965302308849,0.378632249933133,0.0184642955026986,0.0163551026842274,0.0378799561974119,-0.135239831239999,-3.16381382350385e-05,-0.011992851580924,0.0281349357333229,-0.0812145097318626,0.031515079145871,-0.0826711488675981,0.124200541293295,-0.0334498750044357,0.0385220115085194,-0.0809702424423166,0.0516423569697567,-0.0769987848230904,-0.0107994184611879,-0.00564454106285528,0.222222394605614,0.0399591278019917,0.188053716048885,0.270981941165343,0.0829389919469475,-0.0970520473168419,-0.0204166551081483,-0.0767026967326794,0.000135703351831436,0.00293243566339958,-0.0195049632485007,0.048749868330904,-0.0655021489414966,-0.0273920793478191,0.000322471236562802,-0.0254114569110904,-0.0454977020175333,0.0938028638944386,0.0707053752375382
-0.000117427105014625,0.00274295464660493,0.00171949626788636,-0.00394610659733252,-0.0128835957085285,-0.00418797623911407,0.0101503292385096,0.0386233191707263,-0.0402610245424064,-0.0295725842424974,-0.0126436887705871,0.0403762524995599,0.0594007898293429,-0.0207588919102639,0.029004419560513,0.01985887857237,0.0183604179993113,0.0199462175052307,-0.0387019680021083,0.0040667400551446,-0.0974972740439416,-0.161579143040748,-0.0380422952957174,0.334388384173125,-0.074161877526238,0.0264619490391393,-0.460787337758031,0.337643204049023,-0.092467466204086,-0.201043746625388,0.195156450082271,0.311769579435261,0.0512181101783317,0.0794803167092279,0.0363469442013619,-0.0246746251244611,-0.0606233839365397,0.00434112843669429,0.0507120539470619,-0.0307401407458541,-0.145887441361986,0.030129478262157,0.125958644672666,0.177417446201864,-0.110670771241835,-0.0483666945199643,0.136910810035001,0.171227878041985,0.025729707148228,0.154209198970464,0.305460627421177,0.0108541172524882,0.0816019469788307,-0.0117339560691688,0.0100964466983668,-0.108311487944198,-0.103530849306967,-0.0224734316390918,-0.00903870688603441,-0.038937267093275,-0.111004828589794,0.0875390490264071,-0.0318290573734466,0.0149835668498303
